corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
KNR158-4 MC83c,63.4087,-30.9467,2486,0.75,1.37,1,255,355,1.472346663,8.106079102,7.169410229,34.9249115,8.65201416,34.8516777,63.5,-30.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.461296168,reductive
KNR158-4 MC83d,63.4087,-30.9467,2486,0.75,1.43,1,255,355,1.472346663,8.106079102,7.169410229,34.9249115,8.65201416,34.8516777,63.5,-30.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.461296168,reductive
KNR158-4 MC83f,63.4087,-30.9467,2486,0.75,1.25,1,150,255,1.472346663,8.106079102,7.169410229,34.9249115,8.65201416,34.8516777,63.5,-30.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.461296168,reductive
KNR158-4 MC83g,63.4087,-30.9467,2486,0.75,1.22,1,150,255,1.472346663,8.106079102,7.169410229,34.9249115,8.65201416,34.8516777,63.5,-30.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.461296168,reductive
KNR158-4 MC83h,63.4087,-30.9467,2486,0.75,1.22,1,150,255,1.472346663,8.106079102,7.169410229,34.9249115,8.65201416,34.8516777,63.5,-30.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.461296168,reductive
KNR158-MC54a,57.0267,-17.5317,1330,1.5,1.22,1,255,355,1.927188039,8.131766319,10.77890015,35.30141068,10.77889554,35.30143801,57.5,-17.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.269247585,reductive
KNR158-MC54c,57.0267,-17.5317,1330,1.5,1.26,1,255,355,1.927188039,8.131766319,10.77890015,35.30141068,10.77889554,35.30143801,57.5,-17.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.269247585,reductive
KNR158-MC54d,57.0267,-17.5317,1330,1.5,1.3,1,255,355,1.927188039,8.131766319,10.77890015,35.30141068,10.77889554,35.30143801,57.5,-17.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.269247585,reductive
KNR158-MC54f,57.0267,-17.5317,1330,1.5,1.2,1,150,255,1.927188039,8.131766319,10.77890015,35.30141068,10.77889554,35.30143801,57.5,-17.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.269247585,reductive
KNR158-MC54g,57.0267,-17.5317,1330,1.5,1.16,1,150,255,1.927188039,8.131766319,10.77890015,35.30141068,10.77889554,35.30143801,57.5,-17.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.269247585,reductive
